username,tr,rank,glicko,rd,apm,pps,vs
blaarg,24539.708188012304,x+,3880.242214260417,89.89297755726722,196.03,3.6,388.36
5han,24463.333528471147,x+,3776.882350305328,71.6866545206476,196.89,4.08,378.33
vincehd,24410.41608098527,x+,3706.293770874011,74.4943873729452,182.65,3.31,384.76
promooooooo,24379.02731153283,x+,3679.755007260441,68.09022868368159,190.26,3.87,385.42
coffilter,24378.75716961874,x+,3691.384488183032,80.84788635489258,182.28,3.39,356.88
caboozled_pie,24357.464502778705,x+,3655.8960187821845,80.34655035463237,193.94,3.5,384.35
vega_,24329.603079339693,x+,3633.9325523118678,71.04426769969504,171.27,3.14,343.54
flyingdiarrhea,24323.310970616116,x+,3621.2434573539613,65.11528139229225,175.86,3.44,356.53
firestorm,24309.717723003512,x+,3616.762928223777,72.5798346550158,178.6,3.2,364.53
adripro1000,24304.99236415058,x+,3606.5878528616477,67.58475846975966,172.66,3.64,339.36
_xxx_summer_xxx_,24296.67281442659,x+,3601.1759644914446,69.47921797640838,171.54,3.48,335.77
turtle,24294.855065854714,x+,3598.3900659634264,68.52371785396791,184.18,3.46,367.18
icly,24293.33210559508,x+,3600.556830967353,73.68821640633314,159.38,2.55,333.24
ducklife4player,24212.026399620037,x+,3526.546667910605,68.92736729128022,170.45,3.65,350.47
kezdabez,24208.882658172242,x+,3520.359160537698,65.55208909644394,185.48,3.56,357.03
hellokitty,24207.438933241923,x+,3517.954686537421,64.4048086543002,167.52,3.35,341.15
run_,24192.15322555556,x+,3509.688511808918,68.43820621707535,165.56,3.38,340.4
fortissim2,24189.47098033059,x+,3512.102013806532,72.78823594559063,176.07,3.35,359.5
akma,24160.713733865363,x+,3478.6287877250847,62.707246354766205,183.47,3.68,359.58
h4y4,24145.52063643439,x+,3467.092047334818,74.9707669345787,174.88,3.29,352.62
poisondrought,24143.98743577551,x+,3466.9794055912,64.01451551385544,159.34,2.96,330.71
neko_murasame,24132.675197093675,x+,3462.7690371389817,69.36980638873668,172.71,3.47,339.53
westl,24131.10662713034,x+,3492.5150404891106,97.94651600995887,219.4,4.84,404.49
ql4707,24118.76633610281,x+,3451.057244763374,67.2231047589884,171.86,3.44,352.24
